Saint Louis|MO|63346|38.8550|-90.8631
Saint Louis|MO|63347|39.0469|-90.7438
Saint Louis|MO|63348|38.8772|-90.9689
Saint Louis|MO|63357|38.6283|-91.0562
Saint Louis|MO|63362|38.9444|-90.9183
Saint Louis|MO|63365|38.7095|-90.8806
Saint Louis|MO|63366|38.8067|-90.7019
Saint Louis|MO|63367|38.7961|-90.8055
Saint Louis|MO|63368|38.7609|-90.7709
Saint Louis|MO|63369|38.9340|-90.7830
Saint Louis|MO|63373|38.9272|-90.3447
Saint Louis|MO|63376|38.7917|-90.6191
Saint Louis|MO|63378|38.6437|-91.1876
Saint Louis|MO|63379|38.9788|-90.9804
Saint Louis|MO|63380|38.8122|-91.1308
Saint Louis|MO|63048|38.2675|-90.3807
Saint Louis|MO|63049|38.5090|-90.5115
Saint Louis|MO|63050|38.2322|-90.5652
Saint Louis|MO|63051|38.4296|-90.5525
Saint Louis|MO|63052|38.3915|-90.3803
Saint Louis|MO|63053|38.3655|-90.3630
Saint Louis|MO|63055|38.5282|-90.8483
Saint Louis|MO|63057|38.3421|-90.4089
Saint Louis|MO|63060|38.2103|-90.8212
Saint Louis|MO|63061|38.2606|-90.8032
Saint Louis|MO|63065|38.2492|-90.4830
Saint Louis|MO|63066|38.2783|-90.6489
Saint Louis|MO|63069|38.4829|-90.7463
Saint Louis|MO|63070|38.2804|-90.3953
Saint Louis|MO|63072|38.3094|-90.7530
Saint Louis|MO|63073|38.5845|-90.7545
Saint Louis|MO|63074|38.7336|-90.3778
Saint Louis|MO|63077|38.3453|-90.9809
Saint Louis|MO|63084|38.4501|-91.0091
Saint Louis|MO|63001|38.5012|-90.6275
Saint Louis|MO|63005|38.6114|-90.7349
Saint Louis|MO|63006|38.6272|-90.5184
Saint Louis|MO|63010|38.4371|-90.3669
Saint Louis|MO|63011|38.5971|-90.5455
Saint Louis|MO|63012|38.3357|-90.4039
Saint Louis|MO|63015|38.4200|-90.7810
Saint Louis|MO|63016|38.3570|-90.6452
Saint Louis|MO|63017|38.6542|-90.5584
Saint Louis|MO|63019|38.2232|-90.3820
Saint Louis|MO|63021|38.5883|-90.4971
Saint Louis|MO|63022|38.5937|-90.5655
Saint Louis|MO|63023|38.3344|-90.6938
Saint Louis|MO|63024|38.5941|-90.5144
Saint Louis|MO|63025|38.5042|-90.6330
Saint Louis|MO|63026|38.4948|-90.4271
Saint Louis|MO|63038|38.5867|-90.6403
Saint Louis|MO|63039|38.4904|-90.8193
Saint Louis|MO|63040|38.5773|-90.6116
Saint Louis|MO|63041|38.2307|-90.7981
Saint Louis|MO|63042|38.7761|-90.3676
Saint Louis|MO|63043|38.7148|-90.4497
Saint Louis|MO|63044|38.7537|-90.4225
Saint Louis|MO|63045|38.7655|-90.4614
Saint Louis|MO|63088|38.5613|-90.4895
Saint Louis|MO|63089|38.4685|-90.8894
Saint Louis|MO|63090|38.5561|-91.0162
Saint Louis|MO|63099|38.5406|-90.4804
Saint Louis|MO|63101|38.6315|-90.1932
Saint Louis|MO|63102|38.6265|-90.1889
Saint Louis|MO|63103|38.6312|-90.2042
Saint Louis|MO|63104|38.6091|-90.2102
Saint Louis|MO|63105|38.6399|-90.3053
Saint Louis|MO|63106|38.6446|-90.2000
Saint Louis|MO|63107|38.6611|-90.2070
Saint Louis|MO|63108|38.6445|-90.2598
Saint Louis|MO|63109|38.5897|-90.3041
Saint Louis|MO|63110|38.6142|-90.2567
Saint Louis|MO|63111|38.5733|-90.2411
Saint Louis|MO|63112|38.6538|-90.2846
Saint Louis|MO|63113|38.6618|-90.2585
Saint Louis|MO|63114|38.6953|-90.3765
Saint Louis|MO|63115|38.6770|-90.2538
Saint Louis|MO|63116|38.5900|-90.2507
Saint Louis|MO|63117|38.6278|-90.3168
Saint Louis|MO|63118|38.5982|-90.2340
Saint Louis|MO|63119|38.5804|-90.3357
Saint Louis|MO|63120|38.6845|-90.2692
Saint Louis|MO|63121|38.7088|-90.2887
Saint Louis|MO|63122|38.5790|-90.4089
